mois,aire_sante,admissions,guerisons,abandons,deces,cible_guerison_pct
2025-01,Nord,120,78,15,2,75
2025-01,Sud,95,70,8,1,75
2025-01,Est,110,88,10,0,75
2025-02,Nord,130,81,18,3,75
2025-02,Sud,100,72,9,1,75
2025-02,Est,105,90,7,0,75
2025-03,Nord,125,70,20,4,75
2025-03,Sud,98,74,8,1,75
2025-03,Est,115,92,6,0,75
2025-03,Est,115,92,6,0,75
2025-04,Nord,140,95,12,2,75
2025-04,Sud,102,80,7,1,75
2025-04,Est,108,-5,5,0,75
2025-05,Nord,135,102,10,1,75
2025-05,Sud,,78,6,1,75
2025-05,Est,112,91,5,0,75
2025-06,Nord,128,100,9,1,75
2025-06,Sud,101,82,6,0,75
2025-06,Est,109,88,7,1,75
